Наименование	Раздел	Родитель	Опция	ОтборПоЗначению	ТипЗначенияПараметра	РазрешеноКопирование	ПроверкаЗаполнения	Автоиспользование	БезПробелов	Кавычки	КавычкиДляЗначения	Описание
Форсировать отключение от хранилища	e9d59473-dd41-11e8-83dc-485ab6090f00	e9d59472-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Cохранение конфигурации из хранилища в файл	e9d59474-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryDumpCfg		Файл;Сохранение;Файл конфигурации (*.cf)|*.cf|Файл расширения конфигурации (*.cfe)|*.cfe	Нет	Да	Нет	Нет	Нет	Нет	
Номер версии хранилища	e9d59475-dd41-11e8-83dc-485ab6090f00	e9d59474-dd41-11e8-83dc-485ab6090f00	-v		Число	Нет	Да	Нет	Нет	Нет	Нет	
Копирование пользователей из другого хранилища конфигурации	e9d59476-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryCopyUsers -Path		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Имя пользователя хранилища	e9d59477-dd41-11e8-83dc-485ab6090f00	e9d59476-dd41-11e8-83dc-485ab6090f00	-User		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Пароль пользователя хранилища	e9d59478-dd41-11e8-83dc-485ab6090f00	e9d59476-dd41-11e8-83dc-485ab6090f00	-Pwd		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Восстановление удаленного пользователя	e9d59479-dd41-11e8-83dc-485ab6090f00	e9d59476-dd41-11e8-83dc-485ab6090f00	-RestoreDeletedUser			Нет	Нет	Нет	Нет	Нет	Нет	
Захват объектов для редактирования в хранилище конфигурации	e9d5947a-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryLock		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Файл со списком объектов	e9d5947d-dd41-11e8-83dc-485ab6090f00	e9d5947a-dd41-11e8-83dc-485ab6090f00		 e9d5947c-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Список объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Получать захваченные	e9d5947e-dd41-11e8-83dc-485ab6090f00	e9d5947a-dd41-11e8-83dc-485ab6090f00	-revised			Нет	Нет	Нет	Нет	Нет	Нет	
Отмена захвата объектов для редактирования в хранилище конфигурации	e9d5947f-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryUnlock		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Файл со списком объектов	e9d59482-dd41-11e8-83dc-485ab6090f00	e9d5947f-dd41-11e8-83dc-485ab6090f00		 e9d59481-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Список объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Получать измененные объекты из хранилища	e9d59483-dd41-11e8-83dc-485ab6090f00	e9d5947f-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Помещение изменений объектов в хранилище конфигурации	e9d59484-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryCommit		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Файл со списком объектов	e9d59487-dd41-11e8-83dc-485ab6090f00	e9d59484-dd41-11e8-83dc-485ab6090f00		 e9d59486-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Список объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Текст комментария	e9d59488-dd41-11e8-83dc-485ab6090f00	e9d59484-dd41-11e8-83dc-485ab6090f00	-comment		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Оставить захваченными	e9d59489-dd41-11e8-83dc-485ab6090f00	e9d59484-dd41-11e8-83dc-485ab6090f00	-keepLocked			Нет	Нет	Нет	Нет	Нет	Нет	
Очищать ссылки на удаленные объекты	e9d5948a-dd41-11e8-83dc-485ab6090f00	e9d59484-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Обновить конфигурацию из хранилища	e9d5948b-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryUpdateCfg			Нет	Нет	Нет	Нет	Нет	Нет	
Номер версии хранилища	e9d5948c-dd41-11e8-83dc-485ab6090f00	e9d5948b-dd41-11e8-83dc-485ab6090f00	-v		Число	Нет	Да	Нет	Нет	Нет	Нет	
Получать захваченные	e9d5948d-dd41-11e8-83dc-485ab6090f00	e9d5948b-dd41-11e8-83dc-485ab6090f00	-revised			Нет	Нет	Нет	Нет	Нет	Нет	
Добавлять и удалять объекты конфигурации при необходимости	e9d5948e-dd41-11e8-83dc-485ab6090f00	e9d5948b-dd41-11e8-83dc-485ab6090f00	-force			Нет	Нет	Нет	Нет	Нет	Нет	
Файл со списком объектов	e9d5948f-dd41-11e8-83dc-485ab6090f00	e9d5948b-dd41-11e8-83dc-485ab6090f00	-objects		Файл;Открытие;Список объектов (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
Установка метки для версии хранилища	e9d59490-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositorySetLabel			Нет	Нет	Нет	Нет	Нет	Нет	
Номер версии хранилища	e9d59491-dd41-11e8-83dc-485ab6090f00	e9d59490-dd41-11e8-83dc-485ab6090f00	-v		Число	Нет	Да	Нет	Нет	Нет	Нет	
Название метки	e9d59492-dd41-11e8-83dc-485ab6090f00	e9d59490-dd41-11e8-83dc-485ab6090f00	-name		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Текст комментария	e9d59493-dd41-11e8-83dc-485ab6090f00	e9d59490-dd41-11e8-83dc-485ab6090f00	-comment		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Построение отчета по истории хранилища	e9d59494-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryReport		Файл;Сохранение;Отчет по истории хранилища (*.mxl)|*.mxl	Нет	Да	Нет	Нет	Нет	Нет	
Начальный номер версии хранилища	e9d59496-dd41-11e8-83dc-485ab6090f00	e9d59494-dd41-11e8-83dc-485ab6090f00	-NBegin		Число	Нет	Да	Нет	Нет	Нет	Нет	
Конечный номер версии хранилища	e9d59497-dd41-11e8-83dc-485ab6090f00	e9d59494-dd41-11e8-83dc-485ab6090f00	-NEnd		Число	Нет	Да	Нет	Нет	Нет	Нет	
Вариант группировки	e9d59498-dd41-11e8-83dc-485ab6090f00	e9d59494-dd41-11e8-83dc-485ab6090f00	-GroupByObject		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Оптимизация базы данных хранилища конфигурации	e9d5949b-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryOptimizeData			Нет	Нет	Нет	Нет	Нет	Нет	
Очистка локальной базы данных хранилища конфигурации	e9d5949c-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryClearCache			Нет	Нет	Нет	Нет	Нет	Нет	
Очистка глобального кэша версий конфигурации в хранилище	e9d5949d-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryClearGlobalCache			Нет	Нет	Нет	Нет	Нет	Нет	
Очистка локального кэша версий конфигурации	e9d5949e-dd41-11e8-83dc-485ab6090f00	e9d59458-dd41-11e8-83dc-485ab6090f00	/ConfigurationRepositoryClearLocalCache			Нет	Нет	Нет	Нет	Нет	Нет	
Запуск в режиме агента	e9d5949f-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00	/AgentMode			Нет	Нет	Нет	Нет	Нет	Нет	
Базовый каталог	e9d594a0-dd41-11e8-83dc-485ab6090f00	e9d5949f-dd41-11e8-83dc-485ab6090f00	/AgentBaseDir		Каталог	Нет	Да	Нет	Нет	Нет	Нет	
IP-адрес	e9d594a1-dd41-11e8-83dc-485ab6090f00	e9d5949f-dd41-11e8-83dc-485ab6090f00	/AgentListenAddress		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Номер порта	e9d594a2-dd41-11e8-83dc-485ab6090f00	e9d5949f-dd41-11e8-83dc-485ab6090f00	/AgentPort -		Число	Нет	Да	Нет	Нет	Нет	Нет	
Путь к закрытому ключу хоста	e9d594a3-dd41-11e8-83dc-485ab6090f00	e9d5949f-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Файл закрытого ключа хоста	e9d594a6-dd41-11e8-83dc-485ab6090f00	e9d594a3-dd41-11e8-83dc-485ab6090f00		 e9d594a5-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Нет	
Прочие параметры	e9d594a7-dd41-11e8-83dc-485ab6090f00	e9d59350-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Пакетная конвертация файлов	e9d594a8-dd41-11e8-83dc-485ab6090f00	e9d594a7-dd41-11e8-83dc-485ab6090f00		 e9d592df-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Путь к файлу	e9d594ab-dd41-11e8-83dc-485ab6090f00	e9d594a8-dd41-11e8-83dc-485ab6090f00		 e9d594a9-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Все файлы (*.*)|*.*	Нет	Да	Нет	Нет	Нет	Нет	
Путь к каталогу	e9d594ac-dd41-11e8-83dc-485ab6090f00	e9d594a8-dd41-11e8-83dc-485ab6090f00		 e9d594aa-dd41-11e8-83dc-485ab6090f00	Каталог	Нет	Да	Нет	Нет	Нет	Нет	
Файл результата работы конфигуратора	e9d594ad-dd41-11e8-83dc-485ab6090f00	e9d594a7-dd41-11e8-83dc-485ab6090f00	/DumpResult	 e9d592df-dd41-11e8-83dc-485ab6090f00	Файл;Сохранение;Файл результата работы конфигуратора (*.txt)|*.txt	Нет	Да	Нет	Нет	Нет	Нет	
Запуск "1С:Предприятия" после исполнения пакетной команды	e9d594af-dd41-11e8-83dc-485ab6090f00	e9d594a7-dd41-11e8-83dc-485ab6090f00	/RunEnterprise	 e9d592df-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Да	Нет	
Отображать окно заставки конфигуратора	e9d594b0-dd41-11e8-83dc-485ab6090f00	e9d594a7-dd41-11e8-83dc-485ab6090f00	/Visible	 e9d592df-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Мобильное приложение	e9d593eb-dd41-11e8-83dc-485ab6090f00	00000000-0000-0000-0000-000000000000				Нет	Нет	Нет	Нет	Нет	Нет	
Обновляет публикацию мобильного приложения	e9d593ec-dd41-11e8-83dc-485ab6090f00	e9d593eb-dd41-11e8-83dc-485ab6090f00	/MAUpdatePublication			Нет	Нет	Нет	Нет	Нет	Нет	
Записывает xml-файл мобильного приложения	e9d593ed-dd41-11e8-83dc-485ab6090f00	e9d593eb-dd41-11e8-83dc-485ab6090f00	/MAWriteFile		Файл;Сохранение;Файл XML (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	
